OBJECTID,HELCOM_ID,Country,Year,Spill_ID,Latitude,Longitude,Length__km,Width__km_,Area__km2_,Spill_cat,EstimVol_m3,Vol_Category,Polluter,Date,Time_UTC,x,y,Wind_speed,Wind_direc,FlightType,Remarks,Type_Substance
1023,4540,Sweden,2015,SE-45,59.391,18.567833333333333,0.06,0.02,0.0012,Oil,0.0004,1.0,Ship,1433635200000,-2209132320000,2066961.7518000007,8265381.228600003,,,,,
1024,4539,Sweden,2015,SE-41,55.85966666666667,16.247833333333332,0.3,0.05,0.015,Oil,0.0004,1.0,Unknown,1433462400000,-2209117620000,1808700.5331000015,7530529.8298999965,,,,,
1025,4538,Sweden,2015,SE-70,57.6,19.566666666666666,3.0,0.1,0.3,Oil,0.00025,1.0,Unknown,1442793600000,-2209123800000,2178151.3698999994,7883755.2809000015,,,,,
1026,4537,Sweden,2015,SE-85,57.68216667,11.6475,0.135,0.005,0.000675,Oil,0.0002,1.0,Unknown,1434758400000,-2209095600000,1296593.7688999996,7900844.9548999965,,,,Mineraloil,
1027,4536,Sweden,2015,SE-05,57.7155,11.95767,0.155,0.01,0.00016,Oil,0.00018,1.0,Unknown,1423958400000,-2209126800000,1331121.7355000004,7907788.931400001,,,,Dischargefrom boats/ vessels close to shore/ in harbor,
1028,4535,Sweden,2015,SE-46,59.501333333333335,18.483666666666668,0.07,0.03,0.0021000000000000003,Oil,0.0001,1.0,Unknown,1434758400000,-2209110420000,2057592.361299999,8289542.375200003,,,,,
1029,4534,Sweden,2015,SE-50,58.805,17.9333,0.005,0.005,3e-05,Oil,2e-06,1.0,Unknown,1435968000000,-2209110000000,1996325.8242000006,8138358.738200001,,,,,
1030,4533,Sweden,2015,SE-12,56.07633333333333,12.656666666666666,0.15,0.02,0.003,Oil,0.0,1.0,Other,1427414400000,-2209110300000,1408933.6886,7573626.494999997,,,,,
1031,4532,Poland,2015,PL-11,55.363,18.6333,9.8,2.5,24.5,Oil,7.35,3.0,Unknown,1435622400000,-2209131600000,2074249.4677000009,7432638.146899998,5,260.0,N,,
1032,4531,Poland,2015,PL-01,54.487,18.6592,0.3,0.05,0.015,Oil,0.12,2.0,Unknown,1421971200000,-2209128360000,2077132.6426,7262933.143200003,,,N,,
1035,4528,Poland,2015,PL-03,54.7927,18.4778,1.0,0.1,0.01,Oil,0.03,1.0,Unknown,1422230400000,-2209130760000,2056939.2868999988,7321736.909999996,8,230.0,N,,
104,5459,Finland,2021,FI-25,60.375883333333334,22.123533333333334,,,,Oil,,1.0,Unknown,1631750400000,-2209134180000,2462780.4651999995,8483903.875500001,,,N,Small slick,
1040,4523,Poland,2015,PL-04,54.5168,18.5677,0.2,0.01,0.002,Oil,0.0018,1.0,Unknown,1426723200000,-2209128240000,2066946.9092000015,7268646.004100002,3,150.0,N,,
1041,4522,Germany,2015,GE-07,54.916666666666664,13.395,2.6,0.45,0.8775,Oil,0.538785,2.0,Unknown,1436745600000,-2209094160000,1491124.5791999996,7345709.580700003,5.1444444444,270.0,N,,
1042,4521,Germany,2015,GE-19,54.79783333333334,13.322833333333334,1.2,0.2,0.24,Oil,0.27648,2.0,Unknown,1430697600000,-2209135800000,1483091.022500001,7322728.133199997,23,249.0,N,Reported by DNK,
1043,4520,Germany,2015,GE-08,54.056666666666665,10.766666666666667,0.4,0.1,0.036,Oil,0.128304,2.0,Unknown,1436832000000,-2209092900000,1198539.8509999998,7180895.595399998,2.0577777778,250.0,N,,
1044,4519,Germany,2015,GE-17,54.93666666666666,13.573333333333332,5.1,1.0,2.04,Oil,0.0816,1.0,Unknown,1436832000000,-2209119540000,1510976.5549999997,7349584.093900003,6.1733333333,300.0,N,,
1045,4518,Germany,2015,GE-10,54.7,12.578333333333333,51.8,0.15,1.9425,Oil,0.0777,1.0,Ship,1439424000000,-2209135080000,1400213.6616999991,7303858.579800002,3.6011111111,50.0,N,,
1046,4517,Germany,2015,GE-06,54.906666666666666,13.385,2.9,0.9,1.827,Oil,0.07308,1.0,Unknown,1436054400000,-2209108200000,1490011.384300001,7343773.045999996,3.0866666667,85.0,N,,
1047,4516,Germany,2015,GE-05,54.77166666666667,13.59,1.4,0.2,0.112,Oil,0.021952,1.0,Unknown,1435536000000,-2209132080000,1512831.8797999993,7317676.782899998,6.1733333333,190.0,N,,
1048,4515,Germany,2015,GE-03,54.155,14.103333333333333,0.45,0.015,0.002025,Oil,0.005376375,1.0,Ship,1433203200000,-2209133340000,1569975.8850999996,7199566.262100004,11.317777778,205.0,N,,
1049,4514,Germany,2015,GE-18,54.92333333333333,13.498333333333333,6.58,0.2,0.1316,Oil,0.005264,1.0,Unknown,1428451200000,-2209117740000,1502627.5931000002,7347000.870899998,0,0.0,N,,
106,5457,Finland,2021,FI-16,60.21635,22.3046,,,,Oil,,1.0,Ship,1627257600000,-2209136100000,2482936.714200001,8448064.154399998,,,N,,
1063,4500,Germany,2015,GE-20,54.58833333333333,13.088333333333333,0.7,0.025,0.0175,Oil,0.001,1.0,Ship,1449532800000,-2209116600000,1456986.6020000018,7282376.458800003,,,N,Reported by SWE,
1064,4499,Germany,2015,GE-02,54.155,14.103333333333333,1.8,0.001,0.00054,Oil,7.776e-05,1.0,Ship,1433116800000,-2209090260000,1569975.8850999996,7199566.262100004,0.51444444444,210.0,N,,
1065,4498,Germany,2015,GE-01,54.915,13.506666666666666,4.5,1.3,2.34,Oil,0.0,1.0,Unknown,1431388800000,-2209132800000,1503555.2556000017,7345386.791500002,6.6877777778,234.0,N,,
